open_broker_time,close_broker_time,broker_hour,ticket,kind,side,lots,entry,net_pnl,hold_seconds,gap_from_prev_close_s,cumulative_pnl,outcome
2026-05-15 08:47:08,2026-05-15 08:47:44,8,52193960,PROBE,SELL,0.01,4564.16,-2.85,36,-16,-597.27,LOSS
2026-05-15 08:47:09,2026-05-15 08:47:24,8,52193978,MAIN,SELL,0.4,4563.46,2.0,15,-35,-595.27,WIN
2026-05-15 08:47:25,2026-05-15 08:47:44,8,52194041,MAIN,SELL,0.4,4562.74,-155.6,19,1,-750.87,LOSS
2026-05-15 08:52:52,2026-05-15 08:55:03,8,52196031,PROBE,SELL,0.01,4569.68,2.0,131,308,-748.87,WIN
2026-05-15 08:52:54,2026-05-15 08:55:02,8,52196032,PROBE,SELL,0.01,4569.63,1.83,128,-129,-747.04,WIN
2026-05-15 08:54:14,2026-05-15 08:55:02,8,52196354,MAIN,SELL,0.4,4568.41,24.8,48,-48,-722.24,WIN
2026-05-15 08:54:14,2026-05-15 08:55:02,8,52196355,MAIN,SELL,0.4,4568.39,28.4,48,-48,-693.84,WIN
2026-05-15 08:58:37,2026-05-15 09:07:17,8,52197597,PROBE,BUY,0.01,4568.17,1.98,520,215,-691.86,WIN
2026-05-15 08:58:39,2026-05-15 09:07:14,8,52197608,PROBE,BUY,0.01,4568.42,1.39,515,-518,-690.47,WIN
2026-05-15 09:07:11,2026-05-15 09:07:16,9,52200569,MAIN,BUY,0.4,4569.39,28.0,5,-3,-662.47,WIN
2026-05-15 09:07:13,2026-05-15 09:07:14,9,52200625,MAIN,BUY,0.4,4569.64,7.6,1,-3,-654.87,WIN
2026-05-15 09:10:07,2026-05-15 09:10:22,9,52201889,PROBE,SELL,0.01,4567.39,1.91,15,173,-652.96,WIN
2026-05-15 09:10:09,2026-05-15 09:10:26,9,52201894,PROBE,SELL,0.01,4566.59,1.21,17,-13,-651.75,WIN
2026-05-15 09:10:17,2026-05-15 09:10:22,9,52201896,MAIN,SELL,0.4,4566.15,18.8,5,-9,-632.95,WIN
2026-05-15 09:10:20,2026-05-15 09:10:26,9,52201901,MAIN,SELL,0.4,4565.31,8.0,6,-2,-624.95,WIN
2026-05-15 09:15:53,2026-05-15 09:16:43,9,52203493,PROBE,BUY,0.01,4572.76,2.17,50,327,-622.78,WIN
2026-05-15 09:15:55,2026-05-15 09:16:42,9,52203514,PROBE,BUY,0.01,4572.62,1.69,47,-48,-621.09,WIN
2026-05-15 09:15:59,2026-05-15 09:16:42,9,52203536,MAIN,BUY,0.4,4573.95,16.0,43,-43,-605.09,WIN
2026-05-15 09:15:59,2026-05-15 09:16:43,9,52203550,MAIN,BUY,0.4,4573.99,16.0,44,-43,-589.09,WIN
